source_type,count,label_mean,mean_score,accept_rate,reject_rate
highd_real,75619,1.0,0.8982378840446472,0.9990610825321679,0.0009389174678321586
random_perturb,151238,0.0,1.3989596482133493e-05,0.0,1.0
rss_over_guided,75619,0.0,0.000980361714027822,0.0008331239503299435,0.99916687604967
rule_brake,75619,0.0,2.3618534559136055e-19,0.0,1.0
