policy,event_type,planned_seeds,completed_seeds,reliability_pass_seeds,mean_probability,median_probability,sample_std_probability,t_ci95_low,t_ci95_high,total_closed_loop_evaluations,mean_num_levels,mean_final_failure_fraction,mean_acceptance_rate,mc_status,mc_probability,mc_num_samples,mc_wilson_low,mc_wilson_high,ss_ci_overlaps_mc_wilson,robust_by_predeclared_rule,status
IDM,following,5,5,5,0.002493333333333334,0.0023786666666666674,0.0005307269647484583,0.0018344544132975235,0.0031522122533691444,146769,4.0,0.3116666666666667,0.5877555555555555,not_run,nan,0,nan,nan,False,False,fail
IDM,cutin,5,5,5,0.005880000000000001,0.0057,0.001235718414526546,0.0043458989112838756,0.007414101088716126,16634,2.0,0.058800000000000005,0.6664000000000001,not_run,nan,0,nan,nan,False,False,fail
A2C,following,5,5,5,0.17996000000000004,0.18073333333333333,0.004513830597914216,0.1743562375625895,0.18556376243741057,51331,2.0,0.8997999999999999,0.6972666666666667,not_run,nan,0,nan,nan,False,False,fail
A2C,cutin,5,5,5,0.02908,0.0291,0.0028647862049374644,0.025523468362800637,0.032636531637199366,16612,2.0,0.29080000000000006,0.6704000000000001,not_run,nan,0,nan,nan,False,False,fail
PPO,following,5,5,5,0.18048000000000003,0.1816,0.0045673722082712745,0.17480976753044075,0.1861502324695593,51105,2.0,0.9023999999999999,0.6925333333333333,not_run,nan,0,nan,nan,False,False,fail
PPO,cutin,5,5,5,0.027180000000000003,0.027800000000000005,0.002974390693906905,0.023487398232357033,0.030872601767642973,16611,2.0,0.2718,0.6700000000000002,not_run,nan,0,nan,nan,False,False,fail
SAIRL,following,5,5,5,0.16753333333333337,0.1642,0.00692740130849144,0.15893320747585638,0.17613345919081036,51600,2.0,0.8376666666666667,0.6935333333333333,not_run,nan,0,nan,nan,False,False,fail
SAIRL,cutin,5,5,5,0.03462,0.034100000000000005,0.0029080921580995327,0.031009705540208665,0.03823029445979133,16718,2.0,0.3462,0.663,not_run,nan,0,nan,nan,False,False,fail
