level,num_samples,score_min,score_mean,score_std,score_p50,score_p90,score_p95,score_max,subset_threshold,failure_fraction,acceptance_rate,unique_contexts,largest_context_count,largest_context_share,unique_states,largest_state_count,largest_state_share
0.0,5000.0,0.3754190214192822,3.2105907490614096,0.9564540092242247,3.21138405282332,4.383463169159078,4.829753763051239,6.603688378999393,3.9371251315189166,0.002,0.694,5000.0,1.0,0.0002,5000.0,1.0,0.0002
1.0,5000.0,3.9371407930603057,4.527183304324161,0.5349341084783034,4.362552210294126,5.300410063978462,5.6111832699706605,6.701852907318368,4.937170939386396,0.0088,0.5502,2627.0,5.0,0.001,4470.0,4.0,0.0008
2.0,5000.0,4.937187243096559,5.411774174414698,0.3858691502364589,5.305051018691804,6.002257570877041,6.175347660120117,6.853032284694105,5.747963094948691,0.045,0.498,933.0,25.0,0.005,3648.0,7.0,0.0014
3.0,5000.0,5.747963094948691,6.0473978726309445,0.22995079451119393,6.002317314445739,6.389335239039258,6.502765203568728,6.868699678198848,6.22955399156346,0.2292,nan,277.0,117.0,0.0234,3236.0,10.0,0.002
