event_type,setting_id,varied_parameter,parameter_value,is_default_setting,seed,num_samples,p0,proposal_std,context_refresh_prob,mh_retries_per_sample,max_levels,run_dir,execution_status,quality_status,failure_reason,runtime_seconds,summary_path,effective_config_sha256,updated_utc
following,default,default,,true,101,3000,0.2,0.12,0.7,6,8,../following_default_repeats\seed_101,completed,pass,,617.297000,../following_default_repeats\seed_101\latent_subset_summary.json,c0fd92cd53c1e492e963fcc5354b982c76934852ed732ce8ba09568e93b6fe4c,2026-08-02T14:15:16.922149+00:00
following,default,default,,true,202,3000,0.2,0.12,0.7,6,8,../following_default_repeats\seed_202,completed,pass,,590.750000,../following_default_repeats\seed_202\latent_subset_summary.json,338d8bb779a861adbff12e6c61b542fc07df867ea4f247d097a3844a38f89f55,2026-08-02T14:25:07.675251+00:00
following,default,default,,true,303,3000,0.2,0.12,0.7,6,8,../following_default_repeats\seed_303,completed,pass,,603.000000,../following_default_repeats\seed_303\latent_subset_summary.json,9c8740e847c4aa3dbbb3b87a76ee15adb7510376b4aca092bb9471ebc63629ad,2026-08-02T14:35:10.679557+00:00
following,default,default,,true,404,3000,0.2,0.12,0.7,6,8,../following_default_repeats\seed_404,completed,pass,,604.875000,../following_default_repeats\seed_404\latent_subset_summary.json,35986b3844916b48558a192edb259b329ad036e739fd79f9284eb9c51c17e271,2026-08-02T14:45:15.560942+00:00
following,default,default,,true,505,3000,0.2,0.12,0.7,6,8,../following_default_repeats\seed_505,completed,pass,,596.500000,../following_default_repeats\seed_505\latent_subset_summary.json,35e7b64cd402d4403840bf51e7362c0e8ea2bee38319155f1e051949a38e7678,2026-08-02T14:55:12.086890+00:00
following,num_samples_1000,num_samples,1000,false,101,1000,0.2,0.12,0.7,6,8,runs\following\num_samples_1000\seed_101,completed,fail,unique_contexts 61 < 100,210.938000,runs\following\num_samples_1000\seed_101\latent_subset_summary.json,d0e7916ce8df26e252fba678fd106bf83c6023916dca8cead8d02bed3731cc5e,2026-08-02T14:08:30.616484+00:00
following,num_samples_1000,num_samples,1000,false,202,1000,0.2,0.12,0.7,6,8,runs\following\num_samples_1000\seed_202,completed,fail,unique_contexts 45 < 100,208.078000,runs\following\num_samples_1000\seed_202\latent_subset_summary.json,8d40132b4f10b0c1c19bbb91eeee4cb967e279a8bc9c7747b5b176ae632ff4c9,2026-08-02T14:11:58.697324+00:00
following,num_samples_1000,num_samples,1000,false,303,1000,0.2,0.12,0.7,6,8,runs\following\num_samples_1000\seed_303,skipped_after_two_quality_failures,fail,Two consecutive earlier seeds had execution or reliability failures.,,,,2026-08-02T14:11:58.699309+00:00
following,num_samples_5000,num_samples,5000,false,101,5000,0.2,0.12,0.7,6,8,runs\following\num_samples_5000\seed_101,completed,pass,,1014.110000,runs\following\num_samples_5000\seed_101\latent_subset_summary.json,6c73de5c1c53fd0efe6190977778a273740d161875945f3d8b1721cd65a98709,2026-08-02T14:21:53.843563+00:00
following,num_samples_5000,num_samples,5000,false,202,5000,0.2,0.12,0.7,6,8,runs\following\num_samples_5000\seed_202,completed,pass,,986.765000,runs\following\num_samples_5000\seed_202\latent_subset_summary.json,bfb9fec5ee8ef3dc147db1e10012fbf26484fcfbf44bb0f3330e99792f17b2d7,2026-08-02T14:38:20.627644+00:00
