event_type,setting_id,varied_parameter,parameter_value,is_default_setting,seed,num_samples,p0,proposal_std,context_refresh_prob,mh_retries_per_sample,max_levels,run_dir,execution_status,quality_status,failure_reason,runtime_seconds,summary_path,effective_config_sha256,updated_utc
following,num_samples_5000,num_samples,5000,false,303,5000,0.2,0.12,0.7,6,8,runs\following\num_samples_5000\seed_303,completed,pass,,1001.172000,runs\following\num_samples_5000\seed_303\latent_subset_summary.json,8650e227a76c488848438adae007668768b3484c60ed13ca025fbf6b62b29ad7,2026-08-02T14:55:01.841618+00:00
following,p0_0p1,p0,0.1,false,101,3000,0.1,0.12,0.7,6,8,runs\following\p0_0p1\seed_101,completed,pass,,484.656000,runs\following\p0_0p1\seed_101\latent_subset_summary.json,4ae44e528d45efde88efacaac57d10b56974bf040178d5b82251d9836e69be0e,2026-08-02T14:13:04.389317+00:00
following,p0_0p1,p0,0.1,false,202,3000,0.1,0.12,0.7,6,8,runs\following\p0_0p1\seed_202,completed,pass,,460.719000,runs\following\p0_0p1\seed_202\latent_subset_summary.json,c5dab95fec1d47738e216bb43ed4e94fa75727f3da0fd144301b465c34efef80,2026-08-02T14:20:45.107738+00:00
following,p0_0p1,p0,0.1,false,303,3000,0.1,0.12,0.7,6,8,runs\following\p0_0p1\seed_303,completed,pass,,465.813000,runs\following\p0_0p1\seed_303\latent_subset_summary.json,138ec3829876c10ae0a2f67585465653687761ab5cfcec142c90900bd72aa292,2026-08-02T14:28:30.934526+00:00
following,p0_0p3,p0,0.3,false,101,3000,0.3,0.12,0.7,6,8,runs\following\p0_0p3\seed_101,completed,pass,,684.266000,runs\following\p0_0p3\seed_101\latent_subset_summary.json,b75f4e3b9ecf6a4c3f8c7ad55a3f66d641a00172af4751e1fba29f3be9f47874,2026-08-02T14:23:22.973392+00:00
following,p0_0p3,p0,0.3,false,202,3000,0.3,0.12,0.7,6,8,runs\following\p0_0p3\seed_202,completed,pass,,699.875000,runs\following\p0_0p3\seed_202\latent_subset_summary.json,b6def140232274355cff0fef102c9084d33ef28b011a5ece001e416ab0d94518,2026-08-02T14:35:02.857429+00:00
following,p0_0p3,p0,0.3,false,303,3000,0.3,0.12,0.7,6,8,runs\following\p0_0p3\seed_303,completed,pass,,688.344000,runs\following\p0_0p3\seed_303\latent_subset_summary.json,8a2dc54ee177441f119efe1db65615533f08e3349fa5fe278d795054c329cd1f,2026-08-02T14:46:31.223326+00:00
following,proposal_std_0p06,proposal_std,0.06,false,101,3000,0.2,0.06,0.7,6,8,runs\following\proposal_std_0p06\seed_101,completed,pass,,543.250000,runs\following\proposal_std_0p06\seed_101\latent_subset_summary.json,b51a083570f9da92186a5fbb370171393aed8c04425687dfd955f62aa244e214,2026-08-02T14:37:34.202752+00:00
following,proposal_std_0p06,proposal_std,0.06,false,202,3000,0.2,0.06,0.7,6,8,runs\following\proposal_std_0p06\seed_202,completed,pass,,554.687000,runs\following\proposal_std_0p06\seed_202\latent_subset_summary.json,a882d39ba013e6f392d66520e3aef4f0396058873e81b13601d95eb3827af3c6,2026-08-02T14:46:48.900964+00:00
following,proposal_std_0p06,proposal_std,0.06,false,303,3000,0.2,0.06,0.7,6,8,runs\following\proposal_std_0p06\seed_303,completed,pass,,554.860000,runs\following\proposal_std_0p06\seed_303\latent_subset_summary.json,1c15ebf751048a2cb5a81072b4ba81c23b822ee250979d1de6e92f87384adf39,2026-08-02T14:56:03.801471+00:00
following,proposal_std_0p24,proposal_std,0.24,false,101,3000,0.2,0.24,0.7,6,8,runs\following\proposal_std_0p24\seed_101,completed,fail,unique_states 1036 < 1500,683.906000,runs\following\proposal_std_0p24\seed_101\latent_subset_summary.json,478c89dc536e4f72ca17a506ea2ce9363b05373603bc6c4fb8bac71e875a8bcc,2026-08-02T14:57:55.183299+00:00
following,proposal_std_0p24,proposal_std,0.24,false,202,3000,0.2,0.24,0.7,6,8,runs\following\proposal_std_0p24\seed_202,completed,fail,unique_states 1038 < 1500,672.578000,runs\following\proposal_std_0p24\seed_202\latent_subset_summary.json,ca2d448855e74069107a87a0c4b1413331a13383c18d60bf0428a5d9d73a4adc,2026-08-02T15:09:07.794936+00:00
following,proposal_std_0p24,proposal_std,0.24,false,303,3000,0.2,0.24,0.7,6,8,runs\following\proposal_std_0p24\seed_303,skipped_after_two_quality_failures,fail,Two consecutive earlier seeds had execution or reliability failures.,,,,2026-08-02T15:09:07.797935+00:00
following,context_refresh_prob_0p3,context_refresh_prob,0.3,false,101,3000,0.2,0.12,0.3,6,8,runs\following\context_refresh_prob_0p3\seed_101,completed,fail,unique_contexts 83 < 100,505.297000,runs\following\context_refresh_prob_0p3\seed_101\latent_subset_summary.json,9070d30deaef4304e5117af6beded14d598bcd516768c3b09bf9eb967fabba87,2026-08-02T15:03:27.162638+00:00
following,context_refresh_prob_0p3,context_refresh_prob,0.3,false,202,3000,0.2,0.12,0.3,6,8,runs\following\context_refresh_prob_0p3\seed_202,completed,fail,unique_contexts 63 < 100,492.140000,runs\following\context_refresh_prob_0p3\seed_202\latent_subset_summary.json,4cbec85c997661310b87c23e6e9e46b573267280c329ba6240d474d32a53b818,2026-08-02T15:11:39.337052+00:00
following,context_refresh_prob_0p3,context_refresh_prob,0.3,false,303,3000,0.2,0.12,0.3,6,8,runs\following\context_refresh_prob_0p3\seed_303,skipped_after_two_quality_failures,fail,Two consecutive earlier seeds had execution or reliability failures.,,,,2026-08-02T15:11:39.340606+00:00
following,context_refresh_prob_0p5,context_refresh_prob,0.5,false,101,3000,0.2,0.12,0.5,6,8,runs\following\context_refresh_prob_0p5\seed_101,completed,pass,,549.531000,runs\following\context_refresh_prob_0p5\seed_101\latent_subset_summary.json,cf3b783180e991b8972bdfe7a20fdd17b111228508000d237e8a297c47d07774,2026-08-02T15:04:21.664535+00:00
following,context_refresh_prob_0p5,context_refresh_prob,0.5,false,202,3000,0.2,0.12,0.5,6,8,runs\following\context_refresh_prob_0p5\seed_202,completed,fail,unique_contexts 96 < 100,529.921000,runs\following\context_refresh_prob_0p5\seed_202\latent_subset_summary.json,34e5199923a8793582dac3d55e935d17ee5ed56c7a9b5bbbf0762697524feb77,2026-08-02T15:13:11.628612+00:00
following,context_refresh_prob_0p5,context_refresh_prob,0.5,false,303,3000,0.2,0.12,0.5,6,8,runs\following\context_refresh_prob_0p5\seed_303,completed,fail,unique_contexts 97 < 100,555.625000,runs\following\context_refresh_prob_0p5\seed_303\latent_subset_summary.json,5b8be80bfbb4c01d3002b16db1734f9d63846d3498e989dbd3ef79e2e892b691,2026-08-02T15:22:27.290408+00:00
following,context_refresh_prob_0p9,context_refresh_prob,0.9,false,101,3000,0.2,0.12,0.9,6,8,runs\following\context_refresh_prob_0p9\seed_101,completed,fail,unique_states 1045 < 1500,667.329000,runs\following\context_refresh_prob_0p9\seed_101\latent_subset_summary.json,22986cb76fdc03179ce4e9bef8405f333e6d7a1847bbc8bdfbfb12cc8fb8b0c2,2026-08-02T15:07:11.187516+00:00
following,context_refresh_prob_0p9,context_refresh_prob,0.9,false,202,3000,0.2,0.12,0.9,6,8,runs\following\context_refresh_prob_0p9\seed_202,completed,fail,unique_states 1011 < 1500,661.156000,runs\following\context_refresh_prob_0p9\seed_202\latent_subset_summary.json,e31a6337831e2135785dd662fc088244ae9702b7591bc3e5aa7721e12745f39e,2026-08-02T15:18:12.387459+00:00
following,context_refresh_prob_0p9,context_refresh_prob,0.9,false,303,3000,0.2,0.12,0.9,6,8,runs\following\context_refresh_prob_0p9\seed_303,skipped_after_two_quality_failures,fail,Two consecutive earlier seeds had execution or reliability failures.,,,,2026-08-02T15:18:12.389467+00:00
cutin,default,default,,true,101,1000,0.1,0.1,0.5,4,8,runs\cutin\default\seed_101,completed,pass,,56.375000,runs\cutin\default\seed_101\latent_subset_summary.json,f18c29c7deba14f9f8dd0fd85bc6478331d485b5f7e383756ab425c5896dc6d0,2026-08-02T15:10:04.172024+00:00
cutin,default,default,,true,202,1000,0.1,0.1,0.5,4,8,runs\cutin\default\seed_202,completed,pass,,53.719000,runs\cutin\default\seed_202\latent_subset_summary.json,bff6b65e8e3646e04bc48849b296b2784befe6cf98f05cd8b4b967f9407a8c98,2026-08-02T15:10:57.905157+00:00
cutin,default,default,,true,303,1000,0.1,0.1,0.5,4,8,runs\cutin\default\seed_303,completed,pass,,54.500000,runs\cutin\default\seed_303\latent_subset_summary.json,05ec57458fde7d7616dc7a61dcd092c126d6741474774ec0304f70b16a45935e,2026-08-02T15:11:52.416758+00:00
cutin,default,default,,true,404,1000,0.1,0.1,0.5,4,8,runs\cutin\default\seed_404,completed,pass,,56.422000,runs\cutin\default\seed_404\latent_subset_summary.json,22b46aa89a70e34bdffe0c42dbbfe63186d627d16b6f14721f9c53eb4eed26bd,2026-08-02T15:12:48.841461+00:00
cutin,default,default,,true,505,1000,0.1,0.1,0.5,4,8,runs\cutin\default\seed_505,completed,pass,,61.094000,runs\cutin\default\seed_505\latent_subset_summary.json,c00fa22660fe2388b5063a22b4022bd18dc6857f35174703876da08544b7c15e,2026-08-02T15:13:49.936493+00:00
cutin,num_samples_500,num_samples,500,false,101,500,0.1,0.1,0.5,4,8,runs\cutin\num_samples_500\seed_101,completed,pass,,30.625000,runs\cutin\num_samples_500\seed_101\latent_subset_summary.json,2ea002caf0071dca8786cd2b7214fde8367c0bef194cb18ba4c0b9288c702a66,2026-08-02T15:12:09.966177+00:00
cutin,num_samples_500,num_samples,500,false,202,500,0.1,0.1,0.5,4,8,runs\cutin\num_samples_500\seed_202,completed,pass,,30.610000,runs\cutin\num_samples_500\seed_202\latent_subset_summary.json,6819d90d71cf5f575b9e53e4611b6f0c941c104329829f0ba00e235e0db345b9,2026-08-02T15:12:40.573999+00:00
cutin,num_samples_500,num_samples,500,false,303,500,0.1,0.1,0.5,4,8,runs\cutin\num_samples_500\seed_303,completed,pass,,30.156000,runs\cutin\num_samples_500\seed_303\latent_subset_summary.json,5022532424cab766bfb9e76a258ba40efbf6f7b25d2dbedbce24f7574f654502,2026-08-02T15:13:10.733290+00:00
cutin,num_samples_2000,num_samples,2000,false,101,2000,0.1,0.1,0.5,4,8,runs\cutin\num_samples_2000\seed_101,completed,pass,,118.625000,runs\cutin\num_samples_2000\seed_101\latent_subset_summary.json,9e1dafcec92a615f14b3a8b7bfa790cc8ad1027fee8ab9064c8db77d75ccbcd8,2026-08-02T15:15:09.371472+00:00
cutin,num_samples_2000,num_samples,2000,false,202,2000,0.1,0.1,0.5,4,8,runs\cutin\num_samples_2000\seed_202,completed,pass,,108.000000,runs\cutin\num_samples_2000\seed_202\latent_subset_summary.json,3bce676b86fb773f64de993f2d971860a1a80c544e1cb298ddae3afed85989ec,2026-08-02T15:16:57.396057+00:00
cutin,num_samples_2000,num_samples,2000,false,303,2000,0.1,0.1,0.5,4,8,runs\cutin\num_samples_2000\seed_303,completed,pass,,113.453000,runs\cutin\num_samples_2000\seed_303\latent_subset_summary.json,e060d8a4c1db2e32e1bfeedbf28e896abb050e0410a118321969abe7c950a805,2026-08-02T15:18:50.869482+00:00
cutin,p0_0p05,p0,0.05,false,101,1000,0.05,0.1,0.5,4,8,runs\cutin\p0_0p05\seed_101,completed,pass,,62.797000,runs\cutin\p0_0p05\seed_101\latent_subset_summary.json,4fa23516a5fb0f68f73cb99a8e90e0da4690ab6a1f648a08598f16ec5e221885,2026-08-02T15:14:52.737683+00:00
cutin,p0_0p05,p0,0.05,false,202,1000,0.05,0.1,0.5,4,8,runs\cutin\p0_0p05\seed_202,completed,pass,,63.750000,runs\cutin\p0_0p05\seed_202\latent_subset_summary.json,11aabae692725f176f5738f0f8168affc42d7cbcf17391c2c84e509bdc5604e2,2026-08-02T15:15:56.498879+00:00
cutin,p0_0p05,p0,0.05,false,303,1000,0.05,0.1,0.5,4,8,runs\cutin\p0_0p05\seed_303,completed,pass,,58.344000,runs\cutin\p0_0p05\seed_303\latent_subset_summary.json,6c20320a2ca4723274da692fe6d8e0fb600f8e27931da454ffb8b5cf05569e75,2026-08-02T15:16:54.853540+00:00
cutin,p0_0p2,p0,0.2,false,101,1000,0.2,0.1,0.5,4,8,runs\cutin\p0_0p2\seed_101,completed,pass,,52.563000,runs\cutin\p0_0p2\seed_101\latent_subset_summary.json,9e26cbddbea31a03297d2e8f8dbf8bbb4e62e247a4b036dc9adb0313b6bebe9e,2026-08-02T15:17:47.415712+00:00
cutin,p0_0p2,p0,0.2,false,202,1000,0.2,0.1,0.5,4,8,runs\cutin\p0_0p2\seed_202,completed,pass,,52.047000,runs\cutin\p0_0p2\seed_202\latent_subset_summary.json,a8f98c76cc4c4bd7ddcd53b58d24a9c4c5549f7d932e4e32533b6a9ac4465958,2026-08-02T15:18:39.476548+00:00
cutin,p0_0p2,p0,0.2,false,303,1000,0.2,0.1,0.5,4,8,runs\cutin\p0_0p2\seed_303,completed,pass,,56.969000,runs\cutin\p0_0p2\seed_303\latent_subset_summary.json,16786722687459a5591f25e16e26b8e025853b42ef0e4a2be4c312b55e161623,2026-08-02T15:19:36.461956+00:00
cutin,proposal_std_0p05,proposal_std,0.05,false,101,1000,0.1,0.05,0.5,4,8,runs\cutin\proposal_std_0p05\seed_101,completed,pass,,56.235000,runs\cutin\proposal_std_0p05\seed_101\latent_subset_summary.json,bbc132ed52d055cd308b501a8085bdfeb330a437fc41b7ddef5457b89afc4de6,2026-08-02T15:19:08.637303+00:00
cutin,proposal_std_0p05,proposal_std,0.05,false,202,1000,0.1,0.05,0.5,4,8,runs\cutin\proposal_std_0p05\seed_202,completed,pass,,55.375000,runs\cutin\proposal_std_0p05\seed_202\latent_subset_summary.json,911469a42cd0e1ed83156358bc401571ad42c8ae6f6fc3f7dbc162fb7fa56046,2026-08-02T15:20:04.019923+00:00
cutin,proposal_std_0p05,proposal_std,0.05,false,303,1000,0.1,0.05,0.5,4,8,runs\cutin\proposal_std_0p05\seed_303,completed,pass,,50.829000,runs\cutin\proposal_std_0p05\seed_303\latent_subset_summary.json,f4eaea2b67ea1d1392ff13c957ece74f4576f0ce3d7d5b3bc2ff2cbece1eac71,2026-08-02T15:20:54.856999+00:00
cutin,proposal_std_0p2,proposal_std,0.2,false,101,1000,0.1,0.2,0.5,4,8,runs\cutin\proposal_std_0p2\seed_101,completed,pass,,64.969000,runs\cutin\proposal_std_0p2\seed_101\latent_subset_summary.json,8cbf95b01a03d6b2fe0de2172b90d8755affe9fbf66d202243d96c85ebe19cfd,2026-08-02T15:19:55.859460+00:00
cutin,proposal_std_0p2,proposal_std,0.2,false,202,1000,0.1,0.2,0.5,4,8,runs\cutin\proposal_std_0p2\seed_202,completed,fail,unique_states 477 < 500,59.563000,runs\cutin\proposal_std_0p2\seed_202\latent_subset_summary.json,b90b51fee433023140ecdd3a55afa29613715c32c79df975ed515fad5564238a,2026-08-02T15:20:55.426584+00:00
cutin,proposal_std_0p2,proposal_std,0.2,false,303,1000,0.1,0.2,0.5,4,8,runs\cutin\proposal_std_0p2\seed_303,completed,fail,unique_states 455 < 500,62.422000,runs\cutin\proposal_std_0p2\seed_303\latent_subset_summary.json,792fcd9115e03fe96ad139877d7510783c94bd782630420b3919f3cb984aaaa9,2026-08-02T15:21:57.864338+00:00
cutin,context_refresh_prob_0p25,context_refresh_prob,0.25,false,101,1000,0.1,0.1,0.25,4,8,runs\cutin\context_refresh_prob_0p25\seed_101,completed,pass,,53.984000,runs\cutin\context_refresh_prob_0p25\seed_101\latent_subset_summary.json,104b27f5e7bc9c011cc3dbfeaa4fa977b98f32d2d5f56e902340d2583f274fa9,2026-08-02T15:20:30.448922+00:00
cutin,context_refresh_prob_0p25,context_refresh_prob,0.25,false,202,1000,0.1,0.1,0.25,4,8,runs\cutin\context_refresh_prob_0p25\seed_202,completed,pass,,54.547000,runs\cutin\context_refresh_prob_0p25\seed_202\latent_subset_summary.json,1ce8ba0489ec6b611d455de6efe7ecf5c838a267bc9e85948d6643183bd75411,2026-08-02T15:21:25.003767+00:00
cutin,context_refresh_prob_0p25,context_refresh_prob,0.25,false,303,1000,0.1,0.1,0.25,4,8,runs\cutin\context_refresh_prob_0p25\seed_303,completed,pass,,54.937000,runs\cutin\context_refresh_prob_0p25\seed_303\latent_subset_summary.json,bb230c274bd50c6f8de6aed1221a59117fc7ff8a8aa2d1641d396c9b93584bbd,2026-08-02T15:22:19.950207+00:00
cutin,context_refresh_prob_0p75,context_refresh_prob,0.75,false,101,1000,0.1,0.1,0.75,4,8,runs\cutin\context_refresh_prob_0p75\seed_101,completed,pass,,59.219000,runs\cutin\context_refresh_prob_0p75\seed_101\latent_subset_summary.json,4c4ef4f1ee18bc3fbef46bb14e9a2dab24dfbb9f7753671332efd9a50e71edc5,2026-08-02T15:21:54.090949+00:00
cutin,context_refresh_prob_0p75,context_refresh_prob,0.75,false,202,1000,0.1,0.1,0.75,4,8,runs\cutin\context_refresh_prob_0p75\seed_202,completed,pass,,55.078000,runs\cutin\context_refresh_prob_0p75\seed_202\latent_subset_summary.json,deb9569867a07179b01b334d29ae326f609a54c6a4a522c999743339619dc9bf,2026-08-02T15:22:49.171907+00:00
cutin,context_refresh_prob_0p75,context_refresh_prob,0.75,false,303,1000,0.1,0.1,0.75,4,8,runs\cutin\context_refresh_prob_0p75\seed_303,completed,pass,,52.734000,runs\cutin\context_refresh_prob_0p75\seed_303\latent_subset_summary.json,c82aa8c551801a73747a9c7a0dc6dfdec3ede2e6db84ba30f32df74bb0f57b2e,2026-08-02T15:23:41.901108+00:00
cutin,context_refresh_prob_0p9,context_refresh_prob,0.9,false,101,1000,0.1,0.1,0.9,4,8,runs\cutin\context_refresh_prob_0p9\seed_101,completed,pass,,56.297000,runs\cutin\context_refresh_prob_0p9\seed_101\latent_subset_summary.json,f4ff86b46e07c26ca049ba50becefc36b0b82336700b59a808540108d3c275c8,2026-08-02T15:22:54.169334+00:00
cutin,context_refresh_prob_0p9,context_refresh_prob,0.9,false,202,1000,0.1,0.1,0.9,4,8,runs\cutin\context_refresh_prob_0p9\seed_202,completed,pass,,54.031000,runs\cutin\context_refresh_prob_0p9\seed_202\latent_subset_summary.json,7a86cc14692b8655cd40b93ebb2370a6958bb3d2d8c289fa1403f92d4f4c1668,2026-08-02T15:23:48.210504+00:00
cutin,context_refresh_prob_0p9,context_refresh_prob,0.9,false,303,1000,0.1,0.1,0.9,4,8,runs\cutin\context_refresh_prob_0p9\seed_303,completed,pass,,53.531000,runs\cutin\context_refresh_prob_0p9\seed_303\latent_subset_summary.json,f9749dca3de4ee4ea5b0683c790e8ca379a3269b76dbdd01c83ca213437b465d,2026-08-02T15:24:41.759150+00:00
