target_name,mathematical_definition,requires_evt_model,can_map_to_human_return_period,available_in_current_outputs,estimated_probability_if_available,ads_highd_intensity_ratio_if_available,notes
raw_y_long_threshold,Y_long_sim > x_c,False,True,True,0.00139,0.08659902381506204,raw event at the EVT-calibrated collision-critical level
evt_severity_threshold,S_EVT(Y_long_sim) > S_EVT(x_c),True,True,True,0.00139,0.08659902381506204,monotone-equivalent ordering to Y_long_sim > x_c under the fitted GPD score
simple_surrogate_threshold,min_ttc < tau_ttc or min_gap < tau_gap or hard_brake = 1 or max_drac > tau_drac,False,False,False,nan,nan,"sample-level min_ttc/min_gap exist, but no calibrated following surrogate threshold is defined in current outputs"
