level,num_samples,score_min,score_mean,score_std,score_p50,score_p90,score_p95,score_max,subset_threshold,failure_fraction,acceptance_rate,unique_contexts,largest_context_count,largest_context_share,unique_states,largest_state_count,largest_state_share
0.0,1000.0,-0.0,0.45959185013393833,1.0841547448647262,-0.0,1.7223500142039603,3.0348445173192284,7.455028419692746,1.7223500142039603,0.007,0.41,1000.0,1.0,0.001,1000.0,1.0,0.001
1.0,1000.0,1.7234837006761003,3.3899371213156857,1.5536823539911986,3.0581928956118443,5.121244990954651,6.73651172425012,11.320377810336558,5.121244990954651,0.083,nan,394.0,10.0,0.01,510.0,8.0,0.008
