level,num_samples,score_min,score_mean,score_std,score_p50,score_p90,score_p95,score_max,subset_threshold,failure_fraction,acceptance_rate,unique_contexts,largest_context_count,largest_context_share,unique_states,largest_state_count,largest_state_share
0.0,3000.0,0.3656009798300505,3.2071015476194042,0.9447126074356795,3.1924632488261455,4.375413785807253,4.86507259036449,6.571130237088225,3.907595220064345,0.0023333333333333335,0.7526666666666667,3000.0,1.0,0.0003333333333333333,3000.0,1.0,0.0003333333333333333
1.0,3000.0,3.9079025548896253,4.530954881597709,0.529941244777684,4.373618134661074,5.292359740227756,5.598075866486375,6.883588195180646,4.962271487477418,0.009,0.646,1540.0,5.0,0.0016666666666666668,2858.0,4.0,0.0013333333333333333
2.0,3000.0,4.962281118939182,5.411495803301881,0.3772543348641069,5.31469624039891,5.961042732161136,6.211747456584418,6.883588195180646,5.701110349419162,0.050666666666666665,0.6366666666666667,499.0,25.0,0.008333333333333333,2514.0,6.0,0.002
3.0,3000.0,5.701110349419162,6.020760247059179,0.2702572960249468,5.961061824506732,6.395960303306344,6.5411209321596395,6.91652651087728,6.228731454147019,0.25633333333333336,nan,161.0,97.0,0.03233333333333333,2418.0,5.0,0.0016666666666666668
