min_ttc_s,min_gap_m,collision,near_collision,ttc_below_threshold,scenario_index,dt_s,ego_max_abs_lateral_m
0.0078598503023386,-0.23344039916992188,0.0,1.0,1.0,0.0,0.10496709495782852,0.0
0.0,-1.5782012939453125,1.0,1.0,1.0,1.0,0.0963982343673706,0.0
0.0,-1.3993339538574219,1.0,1.0,1.0,2.0,0.1012236475944519,0.0
0.0,-1.961090087890625,1.0,1.0,1.0,3.0,0.10189037024974823,0.0
0.0,-1.1133003234863281,1.0,1.0,1.0,4.0,0.10099287331104279,0.0
0.0,-1.68316650390625,1.0,1.0,1.0,5.0,0.10292717814445496,0.0
0.0,-4.408927917480469,1.0,1.0,1.0,6.0,0.10526315867900848,0.0
0.005227381829172373,-1.0525398254394531,0.0,1.0,1.0,7.0,0.09936292469501495,0.0
0.0,-1.033935546875,1.0,1.0,1.0,8.0,0.09646403044462204,0.0
0.0,-3.5633201599121094,1.0,1.0,1.0,9.0,0.10122969001531601,0.0
0.0,-2.9088592529296875,1.0,1.0,1.0,10.0,0.09393984079360962,0.0
0.0,-1.386077880859375,1.0,1.0,1.0,11.0,0.07841721922159195,0.0
0.07817995548248291,-0.2496795654296875,0.0,1.0,1.0,12.0,0.09881673008203506,0.0
0.0,-1.4255409240722656,1.0,1.0,1.0,13.0,0.10085072368383408,0.0
0.0,-1.3427963256835938,1.0,1.0,1.0,14.0,0.09263918548822403,0.0
0.0,-3.5489845275878906,1.0,1.0,1.0,15.0,0.10018837451934814,0.0
0.024927161633968353,-1.1298255920410156,0.0,1.0,1.0,16.0,0.09949657320976257,0.0
0.0,-3.8013572692871094,1.0,1.0,1.0,17.0,0.10393285006284714,0.0
0.0,-2.326171875,1.0,1.0,1.0,18.0,0.10526315867900848,0.0
0.0,-1.9523277282714844,1.0,1.0,1.0,19.0,0.10526315867900848,0.0
0.0,-1.6471099853515625,1.0,1.0,1.0,20.0,0.10323996841907501,0.0
0.0,-2.703563690185547,1.0,1.0,1.0,21.0,0.10469802469015121,0.0
0.0,-3.5663490295410156,1.0,1.0,1.0,22.0,0.09325030446052551,0.0
0.0,-0.21111679077148438,1.0,1.0,1.0,23.0,0.09208034723997116,0.0
0.0,-1.4785118103027344,1.0,1.0,1.0,24.0,0.09937425702810287,0.0
0.0,-2.3328819274902344,1.0,1.0,1.0,25.0,0.0941019356250763,0.0
0.0,-2.2830543518066406,1.0,1.0,1.0,26.0,0.09673672914505005,0.0
0.0,-1.9317665100097656,1.0,1.0,1.0,27.0,0.07244599610567093,0.0
0.023972081020474434,-0.18599319458007812,0.0,1.0,1.0,28.0,0.08098071813583374,0.0
0.07029864937067032,-0.5142288208007812,0.0,1.0,1.0,29.0,0.09647724777460098,0.0
0.0,-0.9719924926757812,1.0,1.0,1.0,30.0,0.09620323032140732,0.0
0.038447827100753784,-0.9735183715820312,0.0,1.0,1.0,31.0,0.09883137047290802,0.0
0.0,-1.2202911376953125,1.0,1.0,1.0,32.0,0.10526315867900848,0.0
0.0,-1.2273750305175781,1.0,1.0,1.0,33.0,0.09909128397703171,0.0
0.0,-1.9513969421386719,1.0,1.0,1.0,34.0,0.10294007509946823,0.0
0.0,-2.7616500854492188,1.0,1.0,1.0,35.0,0.1012033000588417,0.0
