level,num_samples,score_min,score_mean,score_std,score_p50,score_p90,score_p95,score_max,subset_threshold,failure_fraction,acceptance_rate,unique_contexts,largest_context_count,largest_context_share,unique_states,largest_state_count,largest_state_share
0.0,500.0,-0.0,0.47038650793470377,1.0179074792503946,-0.0,1.5929383834059856,2.5402428608286387,6.088805307670482,1.5929383834059856,0.008,0.704,500.0,1.0,0.002,500.0,1.0,0.002
1.0,500.0,1.5957077196221983,3.1986375776484186,1.6176129018678918,2.617084960879262,5.797067877267982,6.6165549723801105,8.873608602337063,5.797067877267982,0.11,nan,115.0,10.0,0.02,402.0,3.0,0.006
