level,num_samples,score_min,score_mean,score_std,score_p50,score_p90,score_p95,score_max,subset_threshold,failure_fraction,acceptance_rate,unique_contexts,largest_context_count,largest_context_share,unique_states,largest_state_count,largest_state_share
0.0,3000.0,0.3656009798300505,3.2071015476194042,0.9447126074356795,3.1924632488261455,4.375413785807253,4.86507259036449,6.571130237088225,4.375413785807253,0.0023333333333333335,0.694,3000.0,1.0,0.0003333333333333333,3000.0,1.0,0.0003333333333333333
1.0,3000.0,4.377819443236445,4.953139025590825,0.4540300701515221,4.849104548686819,5.619851171189644,5.852901264939149,6.6270379020803025,5.619851171189644,0.016,0.575,958.0,10.0,0.0033333333333333335,2382.0,5.0,0.0016666666666666668
2.0,3000.0,5.619852550816546,5.927647410229346,0.2573825485907833,5.85501815537227,6.3795778536387315,6.450760881892363,6.860969337447313,6.3795778536387315,0.159,nan,198.0,90.0,0.03,1972.0,10.0,0.0033333333333333335
