event_type,setting_id,varied_parameter,parameter_value,is_default_setting,seed,num_samples,p0,proposal_std,context_refresh_prob,mh_retries_per_sample,max_levels,run_dir,execution_status,quality_status,failure_reason,runtime_seconds,summary_path,effective_config_sha256,updated_utc,probability,binomial_rse,binomial_ci95_lower,binomial_ci95_upper,num_levels,closed_loop_evaluations,proposal_evaluations,mean_transition_acceptance_rate,reliability_status_observed,final_unique_contexts,final_unique_states,final_largest_context_share,final_largest_state_share,failure_threshold,stop_reason
following,context_refresh_prob_0p9,context_refresh_prob,0.9,false,101,3000,0.2,0.12,0.9,6,8,runs\following\context_refresh_prob_0p9\seed_101,completed,fail,unique_states 1045 < 1500,667.329000,runs\following\context_refresh_prob_0p9\seed_101\latent_subset_summary.json,22986cb76fdc03179ce4e9bef8405f333e6d7a1847bbc8bdfbfb12cc8fb8b0c2,2026-08-02T15:07:11.187516+00:00,0.0024346666666666674,0.0276035671351263,0.002302943916488092,0.002566389416845243,4,35057,32057,0.41077777777777774,fail,283.0,1045.0,0.025333333333333333,0.006,6.20371489252444,subset_threshold_reached_failure_threshold
following,context_refresh_prob_0p9,context_refresh_prob,0.9,false,202,3000,0.2,0.12,0.9,6,8,runs\following\context_refresh_prob_0p9\seed_202,completed,fail,unique_states 1011 < 1500,661.156000,runs\following\context_refresh_prob_0p9\seed_202\latent_subset_summary.json,e31a6337831e2135785dd662fc088244ae9702b7591bc3e5aa7721e12745f39e,2026-08-02T15:18:12.387459+00:00,0.002765333333333334,0.025119451048099983,0.0026291845689485763,0.002901482097718092,4,35005,32005,0.409,fail,233.0,1011.0,0.03,0.011666666666666667,6.20371489252444,subset_threshold_reached_failure_threshold
following,context_refresh_prob_0p9,context_refresh_prob,0.9,false,303,3000,0.2,0.12,0.9,6,8,runs\following\context_refresh_prob_0p9\seed_303,skipped_after_two_quality_failures,fail,Two consecutive earlier seeds had execution or reliability failures.,,,,2026-08-02T15:18:12.389467+00:00,nan,nan,nan,nan,nan,nan,nan,nan,missing,nan,nan,nan,nan,nan,
cutin,default,default,,true,101,1000,0.1,0.1,0.5,4,8,runs\cutin\default\seed_101,completed,pass,,56.375000,runs\cutin\default\seed_101\latent_subset_summary.json,f18c29c7deba14f9f8dd0fd85bc6478331d485b5f7e383756ab425c5896dc6d0,2026-08-02T15:10:04.172024+00:00,0.0074,0.11186381681988825,0.005777527200844341,0.009022472799155658,2,3307,2307,0.674,pass,233.0,774.0,0.01,0.004,5.573939479308249,adaptive_failure_count_reached
cutin,default,default,,true,202,1000,0.1,0.1,0.5,4,8,runs\cutin\default\seed_202,completed,pass,,53.719000,runs\cutin\default\seed_202\latent_subset_summary.json,bff6b65e8e3646e04bc48849b296b2784befe6cf98f05cd8b4b967f9407a8c98,2026-08-02T15:10:57.905157+00:00,0.006600000000000001,0.11896014102007087,0.005061131615764364,0.008138868384235637,2,3304,2304,0.663,pass,219.0,763.0,0.01,0.006,5.573939479308249,adaptive_failure_count_reached
cutin,default,default,,true,303,1000,0.1,0.1,0.5,4,8,runs\cutin\default\seed_303,completed,pass,,54.500000,runs\cutin\default\seed_303\latent_subset_summary.json,05ec57458fde7d7616dc7a61dcd092c126d6741474774ec0304f70b16a45935e,2026-08-02T15:11:52.416758+00:00,0.0057,0.12862293593726903,0.00426302455970883,0.00713697544029117,2,3371,2371,0.654,pass,215.0,754.0,0.01,0.005,5.573939479308249,adaptive_failure_count_reached
cutin,default,default,,true,404,1000,0.1,0.1,0.5,4,8,runs\cutin\default\seed_404,completed,pass,,56.422000,runs\cutin\default\seed_404\latent_subset_summary.json,22b46aa89a70e34bdffe0c42dbbfe63186d627d16b6f14721f9c53eb4eed26bd,2026-08-02T15:12:48.841461+00:00,0.0041,0.1529386932808013,0.002870984660795481,0.00532901533920452,2,3354,2354,0.664,pass,218.0,764.0,0.01,0.005,5.573939479308249,adaptive_failure_count_reached
cutin,default,default,,true,505,1000,0.1,0.1,0.5,4,8,runs\cutin\default\seed_505,completed,pass,,61.094000,runs\cutin\default\seed_505\latent_subset_summary.json,c00fa22660fe2388b5063a22b4022bd18dc6857f35174703876da08544b7c15e,2026-08-02T15:13:49.936493+00:00,0.005600000000000001,0.12983506020002014,0.00417493037924458,0.007025069620755422,2,3298,2298,0.677,pass,225.0,777.0,0.01,0.005,5.573939479308249,adaptive_failure_count_reached
cutin,num_samples_500,num_samples,500,false,101,500,0.1,0.1,0.5,4,8,runs\cutin\num_samples_500\seed_101,completed,pass,,30.625000,runs\cutin\num_samples_500\seed_101\latent_subset_summary.json,2ea002caf0071dca8786cd2b7214fde8367c0bef194cb18ba4c0b9288c702a66,2026-08-02T15:12:09.966177+00:00,0.011000000000000001,0.12720777563426766,0.00825740035732519,0.013742599642674812,2,1635,1135,0.704,pass,115.0,402.0,0.02,0.006,5.573939479308249,subset_threshold_reached_failure_threshold
cutin,num_samples_500,num_samples,500,false,202,500,0.1,0.1,0.5,4,8,runs\cutin\num_samples_500\seed_202,completed,pass,,30.610000,runs\cutin\num_samples_500\seed_202\latent_subset_summary.json,6819d90d71cf5f575b9e53e4611b6f0c941c104329829f0ba00e235e0db345b9,2026-08-02T15:12:40.573999+00:00,0.0054,0.18718182881101744,0.0034188675238641915,0.007381132476135809,2,1653,1153,0.684,pass,126.0,392.0,0.02,0.018,5.573939479308249,adaptive_failure_count_reached
cutin,num_samples_500,num_samples,500,false,303,500,0.1,0.1,0.5,4,8,runs\cutin\num_samples_500\seed_303,completed,pass,,30.156000,runs\cutin\num_samples_500\seed_303\latent_subset_summary.json,5022532424cab766bfb9e76a258ba40efbf6f7b25d2dbedbce24f7574f654502,2026-08-02T15:13:10.733290+00:00,0.0086,0.1457937377032648,0.006142500757273768,0.011057499242726232,2,1644,1144,0.662,pass,101.0,381.0,0.02,0.008,5.573939479308249,adaptive_failure_count_reached
