quantile,y_long,empirical_survival,evt_survival,evt_score,label
0.5,0.7835124517368934,0.4999931808573026,0.4999931808573026,0.6931608189383424,
0.55,0.8519959217319016,0.4499952266001118,0.4499952266001118,0.7985183038293392,
0.6,0.9279853659363286,0.39999727234292104,0.39999727234292104,0.9162975510401029,
0.65,1.005640230718628,0.34999931808573026,0.34999931808573026,1.0498240728270607,
0.7,1.0940302652651972,0.3000013638285395,0.3000013638285395,1.203968258241138,
0.75,1.1972559355748946,0.2500034095713487,0.2500034095713487,1.3862807229274965,
0.8,1.3224848523529968,0.2000054553141579,0.2000054553141579,1.6094106362353098,
0.8500000000000001,1.4849929600482212,0.1500075010569671,0.1500075010569671,1.8970699790897445,
0.9,1.7150374898978342,0.10000954679977633,0.10005705828850353,2.3020146728295305,
0.91,1.7766967675250163,0.08999904532002237,0.08971075742614704,2.411164590395121,
0.92,1.842219699497855,0.08000218212566317,0.08009951982956243,2.5244854195629647,
0.93,1.9251400700464023,0.07000531893130396,0.06965871793999036,2.664147418750105,
0.9400000000000001,2.020066623227116,0.06000845573694475,0.05965507229456001,2.819176099777478,
0.95,2.1341899089588283,0.050011592542585546,0.04983017909074856,2.9991344726605935,
0.96,2.2796722655856527,0.04000109106283158,0.03998963791799734,3.2191349104780453,
0.97,2.4727193691046034,0.030004227868472375,0.030310691542665275,3.4962547725123465,
0.98,2.7790058417977677,0.02000736467411317,0.020132847331960926,3.905402602141845,
0.99,3.385999030865976,0.010010501479753965,0.009799352640028671,4.625438952627412,
0.995,4.071664636033879,0.005005250739876983,0.004861186897411902,5.3264726533115265,
0.999,5.739857296408087,0.0010092331192122527,0.0012353989652546938,6.696361312281995,
nan,2.131992261565259,0.05032527310666503,0.05,2.995732273553991,z20
nan,2.7841805946829257,0.01992553496174461,0.019999999999999997,3.9120230054281464,z50
nan,3.367631959184787,0.010105969477517287,0.010000000000000002,4.605170185988091,z100
