context_source,summary_path,available,probability_target,probability,ci95_lower,ci95_upper,num_samples,num_levels,unique_contexts_final,largest_context_share,strict_probability_interpretation,notes
highd_tail_scenario_condition_distribution,results/subset_simulation_cutin/latent_subset_summary.json,True,"P_context,z(Y_cutin_sim > x_c | o sampled from highD tail scenario-condition distribution)",0.006200000000000001,0.0047053024065049145,0.007694697593495087,1000,2,222,0.01,True,context_sampling_mode = process_highd_tail_distribution
normal_context_distribution,,False,,nan,nan,nan,nan,nan,nan,nan,False,no existing alternative cutin subset summary found; requires a separate explicit config/run
empirical_independent_tail_peaks,,False,,nan,nan,nan,nan,nan,nan,nan,False,no existing alternative cutin subset summary found; requires a separate explicit config/run
