level,num_samples,score_min,score_mean,score_std,score_p50,score_p90,score_p95,score_max,subset_threshold,failure_fraction,acceptance_rate,unique_contexts,largest_context_count,largest_context_share,unique_states,largest_state_count,largest_state_share
0.0,5000.0,0.31155445135454424,3.218121329604925,0.9397536661601631,3.223964549970602,4.371957927373958,4.775421768027914,6.813596093891878,3.9129289124901114,0.0026,0.7044,5000.0,1.0,0.0002,5000.0,1.0,0.0002
1.0,5000.0,3.913198020052419,4.5158944508407854,0.5429204427307455,4.353127434042468,5.286905759865665,5.680688789516423,6.861979642815503,4.890965449895201,0.0118,0.562,2690.0,5.0,0.001,4522.0,4.0,0.0008
2.0,5000.0,4.891584235268302,5.402124389407723,0.41682586759438883,5.2827501646675215,6.017827953277041,6.254677475521567,6.906963829607306,5.741124423615167,0.0576,0.5076,992.0,25.0,0.005,3713.0,8.0,0.0016
3.0,5000.0,5.741127337172283,6.080078025557638,0.2827938719471259,6.020172663188031,6.504966793147752,6.667973784693243,7.399950182703482,6.2918154640182085,0.2886,nan,302.0,115.0,0.023,3295.0,15.0,0.003
