epoch,train_loss,val_loss,fixed_val_loss,train_noise_mse,val_noise_mse,fixed_val_noise_mse,train_x0_l1,val_x0_l1,fixed_val_x0_l1,train_smooth,val_smooth,fixed_val_smooth
1,0.6517804012518158,0.546670838838587,0.9854683980345726,0.4854889519563202,0.4677657478718373,0.46863500127219593,1.4976819394406122,0.7008723072461818,4.726641921140254,1.6523252898197562,0.8817860837199616,4.416916823387146
2,0.5691764378057866,0.551248135751794,1.2874676004052161,0.46520367778054816,0.4567042333857842,0.4613973222847562,0.9312303828717235,0.8405452487852573,7.437774702720344,1.0849721194089523,1.0489378235548579,8.229277849197388
3,0.5499047146893757,0.5133284811167558,0.6958846241235733,0.4559305010196341,0.44890020486617643,0.45115240023878866,0.8402403497949976,0.5667699394892065,2.1921073365956545,0.9950179094458096,0.7751283040591255,2.552148547768593
4,0.5377862402642304,0.5367008629553677,1.1847057148814202,0.4512614458019135,0.4483313695469495,0.45500750819919633,0.7709827268028044,0.7818977966235144,6.57621735110879,0.9426521599036981,1.0179714876705268,7.207645216584206
5,0.530607193820663,0.5319685010597477,1.1258053451776504,0.44888971589824705,0.44682238117738254,0.43528542049461977,0.727683308449054,0.7566889107703078,6.240400243550539,0.8949146865891069,0.9477228276302204,6.647987839579582
6,0.5267263844171434,0.5313100693013341,1.105476012825966,0.447212531833172,0.4466791900583759,0.44337437650829087,0.7065501475840084,0.7717288241147698,6.385491578839719,0.8858837369832008,0.7457996326516135,2.3552454352378844
7,0.5207985260377942,0.5041474893971164,0.6907971352338791,0.44463027647977277,0.4397178728123442,0.4279602248563606,0.6750053362020515,0.5670261657672758,2.3342416590079664,0.866771579945605,0.7727000636674132,2.941273662447929
8,0.5184603902503073,0.49664590052953406,0.6235821634531021,0.4435836800833977,0.43602241303014655,0.42490949512066434,0.6626457899530036,0.5302368366496827,1.7329760255292057,0.8612130550697245,0.7599804502071817,2.537507399916649
9,0.5109618064485169,0.520751182248977,1.1641947954893113,0.4385762265326509,0.4313578227944039,0.4218305538641289,0.640620218407189,0.819332794995401,7.195102232322097,0.8323557435838125,0.7460077707614272,2.2854032903909682
10,0.5071448054954016,0.48678291409715174,0.7038727805018425,0.433767245144124,0.42154638722612847,0.413269816266984,0.6495458766673929,0.5688209631010923,2.5435767523944377,0.8422972333447982,0.8354430648972153,3.6245273679494856
11,0.49818776072322335,0.47965396501983454,0.6869836315512657,0.42647511023695295,0.4148899158663566,0.412059948813112,0.6332642048221497,0.5666588361176284,2.4916201515123246,0.8386228971832804,0.8098165706903113,2.576165035367012
12,0.4887641826797676,0.5082883939716578,1.1799449637532233,0.41776573649854803,0.4161591354035345,0.4116264800861245,0.6258372034677446,0.8125762621719063,6.907382205687464,0.8414725320488725,1.087163231649629,7.7580245524644855
13,0.4732574730149051,0.4409617453766185,0.7395082920789718,0.4036445514955679,0.3732054733434982,0.3883856423693942,0.6113912387910938,0.6033318483641165,3.358793866634369,0.8473796273927299,0.7423085931865563,1.52432641685009
14,0.4625328192998344,0.4263832450751156,0.6998716324567795,0.392848295045256,0.36128855155691464,0.3917682410523412,0.6124476979043624,0.5637230460156131,2.6991622392088175,0.8439753828994458,0.8722389342212592,3.8187145590782166
