event_type,setting_id,varied_parameter,parameter_value,is_default_setting,seed,num_samples,p0,proposal_std,context_refresh_prob,mh_retries_per_sample,max_levels,run_dir,execution_status,quality_status,failure_reason,runtime_seconds,summary_path,effective_config_sha256,updated_utc
following,default,default,,true,101,3000,0.2,0.12,0.7,6,8,runs/following/default/seed_101,pending,pending,,,,,2026-07-31T16:40:29.595132+00:00
following,default,default,,true,202,3000,0.2,0.12,0.7,6,8,runs/following/default/seed_202,pending,pending,,,,,2026-07-31T16:40:29.595153+00:00
following,default,default,,true,303,3000,0.2,0.12,0.7,6,8,runs/following/default/seed_303,pending,pending,,,,,2026-07-31T16:40:29.595165+00:00
following,default,default,,true,404,3000,0.2,0.12,0.7,6,8,runs/following/default/seed_404,pending,pending,,,,,2026-07-31T16:40:29.595175+00:00
following,default,default,,true,505,3000,0.2,0.12,0.7,6,8,runs/following/default/seed_505,pending,pending,,,,,2026-07-31T16:40:29.595184+00:00
following,num_samples_1000,num_samples,1000,false,101,1000,0.2,0.12,0.7,6,8,runs/following/num_samples_1000/seed_101,pending,pending,,,,,2026-07-31T16:40:29.595195+00:00
following,num_samples_1000,num_samples,1000,false,202,1000,0.2,0.12,0.7,6,8,runs/following/num_samples_1000/seed_202,pending,pending,,,,,2026-07-31T16:40:29.595204+00:00
following,num_samples_1000,num_samples,1000,false,303,1000,0.2,0.12,0.7,6,8,runs/following/num_samples_1000/seed_303,pending,pending,,,,,2026-07-31T16:40:29.595213+00:00
following,num_samples_5000,num_samples,5000,false,101,5000,0.2,0.12,0.7,6,8,runs/following/num_samples_5000/seed_101,pending,pending,,,,,2026-07-31T16:40:29.595222+00:00
following,num_samples_5000,num_samples,5000,false,202,5000,0.2,0.12,0.7,6,8,runs/following/num_samples_5000/seed_202,pending,pending,,,,,2026-07-31T16:40:29.595231+00:00
following,num_samples_5000,num_samples,5000,false,303,5000,0.2,0.12,0.7,6,8,runs/following/num_samples_5000/seed_303,pending,pending,,,,,2026-07-31T16:40:29.595240+00:00
following,p0_0p1,p0,0.1,false,101,3000,0.1,0.12,0.7,6,8,runs/following/p0_0p1/seed_101,pending,pending,,,,,2026-07-31T16:40:29.595250+00:00
following,p0_0p1,p0,0.1,false,202,3000,0.1,0.12,0.7,6,8,runs/following/p0_0p1/seed_202,pending,pending,,,,,2026-07-31T16:40:29.595259+00:00
