level,num_samples,score_min,score_mean,score_std,score_p50,score_p90,score_p95,score_max,subset_threshold,failure_fraction,acceptance_rate,unique_contexts,largest_context_count,largest_context_share,unique_states,largest_state_count,largest_state_share
0.0,3000.0,0.3965446603685805,3.2032271758320525,0.964716425867476,3.2039201512491515,4.394171527050631,4.83053674367598,6.5975224852958725,4.394171527050631,0.0026666666666666666,0.6946666666666667,3000.0,1.0,0.0003333333333333333,3000.0,1.0,0.0003333333333333333
1.0,3000.0,4.394495870544883,4.958009071695192,0.4671466265989054,4.826528271303914,5.6273679192958435,5.972298582612675,6.783190890627784,5.6273679192958435,0.025333333333333333,0.594,950.0,10.0,0.0033333333333333335,2384.0,6.0,0.002
2.0,3000.0,5.62780775484134,5.992332623591353,0.2604169212148607,5.972270347109619,6.340312514605336,6.443439992965452,6.853365428515745,6.340312514605336,0.24933333333333332,nan,189.0,84.0,0.028,2021.0,9.0,0.003
